title_name,realease_date,price,description,title_review,title_rating,developer,publisher,game_tags
"ELDEN RING","Feb 24 2022","5999.0","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Very Positive","(183,113)","FromSoftware Inc.","FromSoftware Inc., BANDAI NAMCO Entertainment","Souls-like,Dark Fantasy,Relaxing,RPG,Difficult,Action RPG,Third Person,Multiplayer,Fantasy,Action,Online Co-Op,Singleplayer,Co-op,PvP,Open World,Violent,3D,Great Soundtrack,Atmospheric,Walking Simulator,+"
"Dead by Daylight - Sadako Rising Chapter","Mar 8 2022","699.0","None","Very Positive","(159)","Behaviour Interactive Inc.","Behaviour Interactive","Action,Gore,Violent,+"
"Valve Index VR Kit","Jun 28 2019","99900.0","NA","NA","NA","NA","NA","NA"
"Core Keeper","Mar 8 2022","1169.0","Explore an endless cavern of creatures, relics and resources in a mining sandbox adventure for 1-8 players. Mine, build, fight, craft and farm to unravel the mystery of the ancient Core.","Very Positive","(231)","Pugstorm","Fireshine Games","Early Access,Online Co-Op,Adventure,Pixel Graphics,Sandbox,2D,Procedural Generation,Relaxing,Casual,Farming Sim,Dungeon Crawler,Cooking,Simulation,Atmospheric,Exploration,Crafting,Building,Survival,Mining,Mystery,+"
"Have a Nice Death","Mar 8 2022","1499.0","Have a Nice Death is a 2D action roguelike where you play as an overworked Death, whose employees have run rampant, completely throwing off the balance of souls - and his vacation plans. In order to restore order, you'll have to grab your trusty scythe and show your employees who's boss.","Very Positive","(130)","Magic Design Studios","Gearbox Publishing","Singleplayer,Action Roguelike,Action,2D Platformer,2D,Dark Humor,Controller,Cartoony,Cartoon,Early Access,Gothic,Comedy,Combat,Arcade,Hack and Slash,Funny,Platformer,Roguelike,Indie,Metroidvania,+"
"Risk of Rain 2: Survivors of the Void","Mar 1 2022","1499.0","None","Very Positive","(2,906)","Hopoo Games","Gearbox Publishing","Action,Indie,Co-op,Action Roguelike,Multiplayer,Great Soundtrack,Third-Person Shooter,Roguelike,Looter Shooter,Survival,Singleplayer,Difficult,+"
"Steam Deck","","39900.0","NA","NA","NA","NA","NA","NA"
"Steam Deck","","39900.0","NA","NA","NA","NA","NA","NA"
"Steam Deck","","39900.0","NA","NA","NA","NA","NA","NA"
"WWE 2K22","Mar 11 2022","5999.0","REDESIGNED ENGINE. NEW CONTROLS. ALL THE FEATURES YOU CAN HANDLE. Get ripped out of the stands and hit with complete control of the WWE Universe. Hitting this hard has never been so easy. WWE 2K22: IT HITS DIFFERENT","['No user reviews']","0","Visual Concepts","2K","Simulation,Sports,PvP,Wrestling,Co-op,Local Co-Op,Multiplayer,Online Co-Op,Fighting,Local Multiplayer,+"
"Jurassic World Evolution 2: Camp Cretaceous Dinosaur Pack","Mar 8 2022","999.0","None","Mostly Positive","(20)","Frontier Developments","Frontier Developments","Simulation,Strategy,Action,Casual,Dinosaurs,Building,Singleplayer,Survival,Open World,Sandbox,Sci-fi,Historical,Atmospheric,City Builder,Violent,Economy,Sequel,Management,Resource Management,+"
