title_name,realease_date,price,description,title_review,title_rating,developer,publisher,game_tags
"ELDEN RING","Feb 24 2022","5999.0","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Very Positive","(233,217)","FromSoftware Inc.","FromSoftware Inc., BANDAI NAMCO Entertainment","Souls-like,Relaxing,Dark Fantasy,RPG,Difficult,Action RPG,Third Person,Multiplayer,Fantasy,Open World,Online Co-Op,Action,Singleplayer,Co-op,PvP,Violent,3D,Atmospheric,Great Soundtrack,Walking Simulator,+"
"Steam Deck","","39900.0","NA","NA","NA","NA","NA","NA"
"Steam Deck","","39900.0","NA","NA","NA","NA","NA","NA"
"Steam Deck","","39900.0","NA","NA","NA","NA","NA","NA"
"Disco Elysium - The Final Cut","Oct 15 2019","1399.0","Disco Elysium - The Final Cut is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.","Overwhelmingly Positive","(977)","ZA/UM","ZA/UM","RPG,Story Rich,Choices Matter,Detective,Isometric,Atmospheric,Singleplayer,CRPG,Noir,Surreal,Point & Click,Indie,Adventure,Open World,Exploration,Funny,Visual Novel,Character Customization,Fantasy,Sexual Content,+"
"Valve Index VR Kit","Jun 28 2019","99900.0","NA","NA","NA","NA","NA","NA"
"LEGO® Star Wars™: The Skywalker Saga","Apr 5 2022","4999.0","Play through all nine Star Wars saga films in a brand-new LEGO video game unlike any other. Experience fun-filled adventures, whimsical humor, and the freedom to fully immerse yourself in the LEGO Star Wars galaxy.","['No user reviews']","0","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment","LEGO,Adventure,Open World,Multiplayer,Action,Space,Co-op,Sci-fi,Singleplayer,Funny,Third Person,Local Co-Op,Story Rich,Family Friendly,Epic,Great Soundtrack,Memes,Beautiful,Psychological Horror,Puzzle,+"
"The Planet Crafter","Mar 24 2022","1799.0","A space survival open world terraforming crafting game. Transform the ecosystem of a hostile planet to make it livable for humans. Survive, collect, build your base then create oxygen, heat and pressure to make a brand new biosphere.","Overwhelmingly Positive","(1,076)","Miju Games","Miju Games","Early Access,Open World Survival Craft,Exploration,Base Building,Open World,Crafting,First-Person,Singleplayer,Space,Sci-fi,Futuristic,Sandbox,Resource Management,Automation,Immersive Sim,Mars,Survival,Colorful,Adventure,Story Rich,+"
"Ghostwire: Tokyo","Mar 25 2022","5999.0","Tokyo's population has vanished, and deadly supernatural forces prowl the streets. Use an arsenal of elemental abilities to unravel the truth behind the disappearance and save Tokyo.","Very Positive","(1,961)","Tango Gameworks","Bethesda Softworks","Singleplayer,Supernatural,First-Person,Action-Adventure,Action,Horror,Atmospheric,Open World,Lore-Rich,Surreal,Story Rich,Mystery,Combat,Exploration,Adventure,Cyberpunk,FPS,Realistic,VR,Dating Sim,+"
"Farming Simulator 22","Nov 22 2021","3999.0","Create your farm and let the good times grow! Harvest crops, tend to animals, manage productions, and take on seasonal challenges.","Very Positive","(1,232)","Giants Software","Giants Software","Co-op,Simulation,Farming Sim,Agriculture,Moddable,Management,Sandbox,Immersive Sim,3D,Multiplayer,First-Person,Character Customization,Online Co-Op,Economy,Family Friendly,Third Person,Open World,America,Nature,Horses,+"
