title_name,realease_date,price,description,title_review,title_rating,developer,publisher,game_tags
"ELDEN RING","Feb 24 2022","5999.0","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Very Positive","(280,457)","FromSoftware Inc.","FromSoftware Inc., BANDAI NAMCO Entertainment","Souls-like,Relaxing,Dark Fantasy,RPG,Difficult,Action RPG,Third Person,Multiplayer,Fantasy,Online Co-Op,Open World,Action,Singleplayer,Co-op,PvP,Violent,3D,Atmospheric,Great Soundtrack,Walking Simulator,+"
"Ghostwire: Tokyo","Mar 25 2022","5999.0","Tokyo's population has vanished, and deadly supernatural forces prowl the streets. Use an arsenal of elemental abilities to unravel the truth behind the disappearance and save Tokyo.","6 user reviews","- Need more user reviews to generate a score","Tango Gameworks","Bethesda Softworks","Singleplayer,Supernatural,First-Person,Action-Adventure,Action,Horror,Lore-Rich,Atmospheric,Surreal,Open World,Story Rich,Mystery,Combat,Exploration,Realistic,Cyberpunk,Adventure,FPS,VR,Souls-like,+"
"The Planet Crafter","Mar 24 2022","1799.0","A space survival open world terraforming crafting game. Transform the ecosystem of a hostile planet to make it livable for humans. Survive, collect, build your base then create oxygen, heat and pressure to make a brand new biosphere.","Very Positive","(93)","Miju Games","Miju Games","Early Access,Open World Survival Craft,Exploration,Open World,Base Building,Crafting,First-Person,Singleplayer,Space,Sci-fi,Futuristic,Resource Management,Sandbox,Automation,Immersive Sim,Mars,Colorful,Survival,Adventure,Story Rich,+"
"Valve Index VR Kit","Jun 28 2019","99900.0","NA","NA","NA","NA","NA","NA"
"LEGO® Star Wars™: The Skywalker Saga","Apr 5 2022","4999.0","Play through all nine Star Wars saga films in a brand-new LEGO video game unlike any other. Experience fun-filled adventures, whimsical humor, and the freedom to fully immerse yourself in the LEGO Star Wars galaxy.","['No user reviews']","0","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment","LEGO,Adventure,Open World,Multiplayer,Action,Space,Co-op,Sci-fi,Singleplayer,Funny,Third Person,Story Rich,Local Co-Op,Family Friendly,Epic,Great Soundtrack,Memes,Beautiful,Psychological Horror,Puzzle,+"
"Core Keeper","Mar 8 2022","1299.0","Explore an endless cavern of creatures, relics and resources in a mining sandbox adventure for 1-8 players. Mine, build, fight, craft and farm to unravel the mystery of the ancient Core.","Very Positive","(5,628)","Pugstorm","Fireshine Games","Early Access,Online Co-Op,Pixel Graphics,Sandbox,Adventure,2D,Procedural Generation,Relaxing,Farming Sim,Dungeon Crawler,Casual,Cooking,Simulation,Exploration,Crafting,Atmospheric,Survival,Building,Mining,Mystery,+"
"Hunt: Showdown - Meridian Turncoat","Mar 24 2022","899.0","NA","NA","NA","NA","NA","NA"
"Ghostwire: Tokyo","Mar 25 2022","5999.0","Tokyo's population has vanished, and deadly supernatural forces prowl the streets. Use an arsenal of elemental abilities to unravel the truth behind the disappearance and save Tokyo.","6 user reviews","- Need more user reviews to generate a score","Tango Gameworks","Bethesda Softworks","Singleplayer,Supernatural,First-Person,Action-Adventure,Action,Horror,Lore-Rich,Atmospheric,Surreal,Open World,Story Rich,Mystery,Combat,Exploration,Realistic,Cyberpunk,Adventure,FPS,VR,Souls-like,+"
"Marvel's Guardians of the Galaxy","Oct 26 2021","2999.0","Fire up a wild ride across the cosmos with a fresh take on Marvel’s Guardians of the Galaxy. In this action-adventure game, you are Star-Lord leading the unpredictable Guardians from one explosion of chaos to the next. You got this. Probably.","Very Positive","(620)","Eidos-Montréal","Square Enix","Action,Story Rich,Singleplayer,Action-Adventure,Exploration,Third-Person Shooter,Choices Matter,Shooter,Adventure,Sci-fi,Superhero,Comedy,Space,Cinematic,Atmospheric,Aliens,Great Soundtrack,Realistic,Violent,RPG,+"
"TUNIC","Mar 16 2022","2999.0","Explore a land filled with lost legends, ancient powers, and ferocious monsters in TUNIC, an isometric action game about a small fox on a big adventure.","Very Positive","(1,154)","TUNIC Team","Finji","Exploration,RPG,Souls-like,Puzzle,Metroidvania,Difficult,Action-Adventure,Cute,Action RPG,3D,Isometric,Top-Down,Controller,Nonlinear,Action,Colorful,Stylized,Family Friendly,Fantasy,Atmospheric,+"
