title_name,realease_date,price,description,title_review,title_rating,developer,publisher,game_tags
"ELDEN RING","Feb 24 2022","5999.0","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Very Positive","(88,639)","FromSoftware Inc.","FromSoftware Inc., BANDAI NAMCO Entertainment","Souls-like,Relaxing,Dark Fantasy,RPG,Difficult,Action RPG,Open World,Third Person,Fantasy,Multiplayer,Online Co-Op,Action,Singleplayer,Co-op,PvP,Violent,3D,Atmospheric,Great Soundtrack,Walking Simulator,+"
"LEGO® Star Wars™: The Skywalker Saga","Apr 5 2022","4999.0","Play through all nine Skywalker saga films in a game unlike any other. With over 300 playable characters, over 100 vehicles, and 23 planets to explore, a galaxy far, far away has never been more fun! *Includes classic Obi-Wan Kenobi playable character","Very Positive","(14,024)","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment","LEGO,Adventure,Open World,Space,Multiplayer,Co-op,Action,Sci-fi,Singleplayer,Funny,Local Co-Op,Third Person,Family Friendly,Story Rich,Epic,Great Soundtrack,Memes,Beautiful,Psychological Horror,Puzzle,+"
"LEGO® Star Wars™: The Skywalker Saga","Apr 5 2022","4999.0","Play through all nine Skywalker saga films in a game unlike any other. With over 300 playable characters, over 100 vehicles, and 23 planets to explore, a galaxy far, far away has never been more fun! *Includes classic Obi-Wan Kenobi playable character","Very Positive","(14,053)","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment","LEGO,Adventure,Open World,Space,Multiplayer,Co-op,Action,Sci-fi,Singleplayer,Funny,Local Co-Op,Third Person,Family Friendly,Story Rich,Epic,Great Soundtrack,Memes,Beautiful,Psychological Horror,Puzzle,+"
"No Man's Sky","Aug 12 2016","2999.0","No Man's Sky is a game about exploration and survival in an infinite procedurally generated universe.","Very Positive","(1,499)","Hello Games","Hello Games","Open World,Open World Survival Craft,Space,Exploration,Sci-fi,Survival,Procedural Generation,Adventure,First-Person,Sandbox,Singleplayer,Multiplayer,Atmospheric,Crafting,Space Sim,Indie,Action,Simulation,FPS,Great Soundtrack,+"
"Call of Duty®: Black Ops III","Nov 6 2015","1979.0","Call of Duty®: Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.","Very Positive","(2,782)","Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)","Multiplayer,FPS,Zombies,Shooter,Action,First-Person,Co-op,Singleplayer,Futuristic,Illuminati,Hero Shooter,Robots,Sci-fi,Gore,Great Soundtrack,Story Rich,Atmospheric,Quick-Time Events,Parkour,Simulation,+"
"Valve Index VR Kit","Jun 28 2019","99900.0","NA","NA","NA","NA","NA","NA"
"Jurassic World Evolution 2: Premium Edition","","4990.0","NA","NA","NA","NA","NA","NA"
"Steam Deck","","39900.0","NA","NA","NA","NA","NA","NA"
"Steam Deck","","39900.0","NA","NA","NA","NA","NA","NA"
"Steam Deck","","39900.0","NA","NA","NA","NA","NA","NA"
"Jurassic World Evolution 2","Nov 9 2021","3299.0","Jurassic World Evolution 2 is the much-anticipated sequel to Frontier’s highly successful Jurassic World Evolution. This bold new era in the Jurassic World Evolution game franchise builds upon the ground-breaking and immersive 2018 management simulation.","Very Positive","(431)","Frontier Developments","Frontier Developments","Dinosaurs,Building,Simulation,Management,Strategy,Sandbox,Singleplayer,City Builder,Sci-fi,Economy,Resource Management,Open World,Violent,Atmospheric,Action,Sequel,Survival,Base Building,Multiplayer,VR,+"
"Rust","Feb 8 2018","3999.0","The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.","Very Positive","(10,291)","Facepunch Studios","Facepunch Studios","Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,Sandbox,PvP,Adventure,First-Person,Action,FPS,Nudity,Co-op,Shooter,Online Co-Op,Indie,Early Access,Post-apocalyptic,Simulation,+"
