title_name,realease_date,price,description,title_review,title_rating,developer,publisher,game_tags
"LEGO® Star Wars™: The Skywalker Saga","Apr 5 2022","4999.0","Play through all nine Skywalker saga films in a game unlike any other. With over 300 playable characters, over 100 vehicles, and 23 planets to explore, a galaxy far, far away has never been more fun! *Includes classic Obi-Wan Kenobi playable character","Very Positive","(10,120)","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment","LEGO,Adventure,Open World,Space,Multiplayer,Action,Co-op,Sci-fi,Singleplayer,Funny,Local Co-Op,Story Rich,Third Person,Family Friendly,Epic,Great Soundtrack,Memes,Beautiful,Psychological Horror,Puzzle,+"
"ELDEN RING","Feb 24 2022","5999.0","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Very Positive","(121,383)","FromSoftware Inc.","FromSoftware Inc., BANDAI NAMCO Entertainment","Souls-like,Relaxing,Dark Fantasy,RPG,Difficult,Action RPG,Third Person,Open World,Fantasy,Multiplayer,Online Co-Op,Action,Singleplayer,Co-op,PvP,Violent,3D,Atmospheric,Great Soundtrack,Walking Simulator,+"
"LEGO® Star Wars™: The Skywalker Saga","Apr 5 2022","4999.0","Play through all nine Skywalker saga films in a game unlike any other. With over 300 playable characters, over 100 vehicles, and 23 planets to explore, a galaxy far, far away has never been more fun! *Includes classic Obi-Wan Kenobi playable character","Very Positive","(10,120)","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment","LEGO,Adventure,Open World,Space,Multiplayer,Action,Co-op,Sci-fi,Singleplayer,Funny,Local Co-Op,Story Rich,Third Person,Family Friendly,Epic,Great Soundtrack,Memes,Beautiful,Psychological Horror,Puzzle,+"
"Valve Index VR Kit","Jun 28 2019","99900.0","NA","NA","NA","NA","NA","NA"
"Call of Duty®: Black Ops III","Nov 6 2015","1979.0","Call of Duty®: Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.","Very Positive","(1,826)","Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)","Multiplayer,FPS,Zombies,Shooter,Action,First-Person,Co-op,Singleplayer,Futuristic,Illuminati,Hero Shooter,Robots,Sci-fi,Gore,Great Soundtrack,Story Rich,Atmospheric,Quick-Time Events,Parkour,Simulation,+"
"Sea of Thieves","Jun 3 2020","1999.0","Sea of Thieves offers the essential pirate experience, from sailing and fighting to exploring and looting – everything you need to live the pirate life and become a legend in your own right. With no set roles, you have complete freedom to approach the world, and other players, however you choose.","Very Positive","(4,254)","Rare Ltd","Xbox Game Studios","Adventure,Multiplayer,Open World,Pirates,Action,Co-op,Online Co-Op,Sailing,PvP,First-Person,Exploration,Naval,Funny,PvE,Atmospheric,Massively Multiplayer,Swordplay,Great Soundtrack,FPS,Singleplayer,+"
"Hell Let Loose","Jul 27 2021","2679.0","Join the ever expanding experience of Hell Let Loose - a hardcore World War Two first person shooter with epic battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based RTS-inspired meta-game.","Very Positive","(1,597)","Black Matter Pty Ltd","Team17","Action,Shooter,World War II,FPS,Multiplayer,Realistic,War,Simulation,Tactical,Singleplayer,First-Person,Military,PvP,Massively Multiplayer,Strategy,Historical,Gore,Mature,Violent,Indie,+"
"Vampire Survivors","Dec 17 2021","299.0","Mow down thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you.","Overwhelmingly Positive","(11,106)","poncle","poncle","Action Roguelike,Pixel Graphics,Bullet Hell,Casual,2D,Action,RPG,Indie,Roguelite,Action RPG,Vampire,Controller,Singleplayer,Score Attack,Dark Fantasy,Arcade,Early Access,Retro,1980s,Roguelike,+"
"Call of Duty®: Black Ops III","Nov 6 2015","1979.0","Call of Duty®: Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.","Very Positive","(1,826)","Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)","Multiplayer,FPS,Zombies,Shooter,Action,First-Person,Co-op,Singleplayer,Futuristic,Illuminati,Hero Shooter,Robots,Sci-fi,Gore,Great Soundtrack,Story Rich,Atmospheric,Quick-Time Events,Parkour,Simulation,+"
"Halo: The Master Chief Collection","Dec 3 2019","1599.0","NA","NA","NA","NA","NA","NA"
