title_name,realease_date,price,description,title_review,title_rating,developer,publisher,game_tags
"ELDEN RING","Feb 24 2022","5999.0","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Very Positive","(167,051)","FromSoftware Inc.","FromSoftware Inc., BANDAI NAMCO Entertainment","Souls-like,Dark Fantasy,RPG,Relaxing,Difficult,Action RPG,Third Person,Multiplayer,Fantasy,Action,Online Co-Op,Singleplayer,Co-op,PvP,Open World,Violent,3D,Great Soundtrack,Atmospheric,Walking Simulator,+"
"Risk of Rain 2: Survivors of the Void","Mar 1 2022","974.0","None","Very Positive","(2,709)","Hopoo Games","Gearbox Publishing","Action,Indie,Co-op,Action Roguelike,Multiplayer,Great Soundtrack,Third-Person Shooter,Roguelike,Looter Shooter,Survival,Anime,Singleplayer,Difficult,+"
"Valve Index VR Kit","Jun 28 2019","99900.0","NA","NA","NA","NA","NA","NA"
"Destiny 2: The Witch Queen","Feb 22 2022","3999.0","None","Very Positive","(1,119)","Bungie","Bungie","Action,Adventure,Free to Play,Looter Shooter,FPS,Multiplayer,Great Soundtrack,MMORPG,Shooter,First-Person,Atmospheric,Open World,Co-op,+"
"Dying Light 2 Stay Human","Feb 4 2022","5999.0","The virus won and civilization has fallen back to the Dark Ages. The City, one of the last human settlements, is on the brink of collapse. Use your agility and combat skills to survive, and reshape the world. Your choices matter.","Very Positive","(62,156)","Techland","Techland","Open World,Zombies,Co-op,Parkour,Multiplayer,Survival,Action,First-Person,Horror,Gore,Post-apocalyptic,Violent,Choices Matter,RPG,Adventure,Story Rich,Atmospheric,Singleplayer,FPS,Survival Horror,+"
"Risk of Rain 2","Aug 11 2020","1249.0","Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing.","Overwhelmingly Positive","(4,310)","Hopoo Games","Gearbox Publishing","Third-Person Shooter,Action Roguelike,Multiplayer,Action,Roguelite,Co-op,Looter Shooter,Roguelike,Loot,Shooter,Online Co-Op,Difficult,Third Person,Survival,Indie,Singleplayer,Soundtrack,Great Soundtrack,Early Access,Bullet Hell,+"
"Risk of Rain 2 + Survivors of the Void Expansion","","2223.0","NA","NA","NA","NA","NA","NA"
"Destiny 2: The Witch Queen Deluxe Edition","Feb 22 2022","7999.0","None","Very Positive","(648)","Bungie","Bungie","Action,Adventure,Free to Play,Multiplayer,Shooter,First-Person,FPS,Story Rich,MMORPG,Sci-fi,Co-op,Great Soundtrack,Open World,Atmospheric,Looter Shooter,+"
"Destiny 2: The Witch Queen Deluxe + Bungie 30th Anniversary Bundle","Feb 22 2022","9999.0","None","Positive","(43)","Bungie","Bungie","Action,Adventure,Free to Play,FPS,MMORPG,+"
"Ready or Not","Dec 17 2021","3999.0","Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.","Very Positive","(4,736)","VOID Interactive","VOID Interactive","Tactical,Realistic,Multiplayer,FPS,Shooter,First-Person,Co-op,Action,Singleplayer,Violent,Crime,Combat,Gun Customization,Modern,Gore,Atmospheric,America,Co-op Campaign,PvP,Early Access,+"
