title_name,realease_date,price,description,title_review,title_rating,developer,publisher,game_tags
"ELDEN RING","Feb 24 2022","5999.0","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Very Positive","(175,116)","FromSoftware Inc.","FromSoftware Inc., BANDAI NAMCO Entertainment","Souls-like,Relaxing,Dark Fantasy,RPG,Difficult,Action RPG,Third Person,Open World,Multiplayer,Fantasy,Online Co-Op,Action,Singleplayer,Co-op,PvP,Violent,3D,Atmospheric,Great Soundtrack,Walking Simulator,+"
"LEGO® Star Wars™: The Skywalker Saga","Apr 5 2022","4999.0","Play through all nine Star Wars saga films in a brand-new LEGO video game unlike any other. Experience fun-filled adventures, whimsical humor, and the freedom to fully immerse yourself in the LEGO Star Wars galaxy.","['No user reviews']","0","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment","LEGO,Adventure,Open World,Multiplayer,Space,Action,Co-op,Sci-fi,Singleplayer,Funny,Third Person,Local Co-Op,Story Rich,Family Friendly,Epic,Great Soundtrack,Memes,Beautiful,Psychological Horror,Puzzle,+"
"Midnight Ghost Hunt","Mar 31 2022","1999.0","A chaotic multiplayer hide-and-seek game. Possess seemingly harmless objects as Ghosts or chase them down as Hunters before the clock strikes midnight!","Very Positive","(745)","Vaulted Sky Games","Coffee Stain Publishing","Early Access,Combat,Multiplayer,Team-Based,PvP,FPS,First-Person,Action,Supernatural,1990's,Indie,Shooter,Realistic,Sci-fi,Comedy,Tactical,3D,Third-Person Shooter,Artificial Intelligence,Controller,+"
"Valve Index VR Kit","Jun 28 2019","99900.0","NA","NA","NA","NA","NA","NA"
"The Planet Crafter","Mar 24 2022","1799.0","A space survival open world terraforming crafting game. Transform the ecosystem of a hostile planet to make it livable for humans. Survive, collect, build your base then create oxygen, heat and pressure to make a brand new biosphere.","Overwhelmingly Positive","(2,628)","Miju Games","Miju Games","Early Access,Open World Survival Craft,Base Building,Open World,Crafting,Exploration,Space,First-Person,Singleplayer,Sci-fi,Futuristic,Sandbox,Resource Management,Automation,Survival,Immersive Sim,Mars,Colorful,Adventure,Multiplayer,+"
"Destiny 2: The Witch Queen","Feb 22 2022","3199.0","None","Mostly Positive","(288)","Bungie","Bungie","Action,Adventure,Free to Play,Looter Shooter,FPS,Multiplayer,MMORPG,Great Soundtrack,Shooter,First-Person,Atmospheric,Open World,Co-op,+"
"LEGO® Star Wars™: The Skywalker Saga","Apr 5 2022","4999.0","Play through all nine Star Wars saga films in a brand-new LEGO video game unlike any other. Experience fun-filled adventures, whimsical humor, and the freedom to fully immerse yourself in the LEGO Star Wars galaxy.","['No user reviews']","0","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment","LEGO,Adventure,Open World,Multiplayer,Space,Action,Co-op,Sci-fi,Singleplayer,Funny,Third Person,Local Co-Op,Story Rich,Family Friendly,Epic,Great Soundtrack,Memes,Beautiful,Psychological Horror,Puzzle,+"
"Rust","Feb 8 2018","3999.0","The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.","Very Positive","(10,621)","Facepunch Studios","Facepunch Studios","Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,Sandbox,PvP,Adventure,First-Person,Action,FPS,Nudity,Co-op,Shooter,Online Co-Op,Indie,Early Access,Post-apocalyptic,Simulation,+"
"Rust","Feb 8 2018","3999.0","The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.","Very Positive","(10,621)","Facepunch Studios","Facepunch Studios","Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,Sandbox,PvP,Adventure,First-Person,Action,FPS,Nudity,Co-op,Shooter,Online Co-Op,Indie,Early Access,Post-apocalyptic,Simulation,+"
"Ready or Not","Dec 17 2021","3999.0","Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.","Very Positive","(2,845)","VOID Interactive","VOID Interactive","Tactical,Realistic,FPS,Multiplayer,Shooter,First-Person,Co-op,Action,Singleplayer,Violent,Crime,Combat,Gun Customization,Modern,Gore,Atmospheric,America,Co-op Campaign,PvP,Early Access,+"
"Farming Simulator 22","Nov 22 2021","3999.0","Create your farm and let the good times grow! Harvest crops, tend to animals, manage productions, and take on seasonal challenges.","Very Positive","(1,265)","Giants Software","Giants Software","Co-op,Simulation,Farming Sim,Agriculture,Moddable,Management,Sandbox,Immersive Sim,3D,Multiplayer,First-Person,Character Customization,Online Co-Op,Economy,Family Friendly,Third Person,Open World,America,Nature,Horses,+"
"Weird West","Mar 31 2022","3999.0","Survive and unveil the mysteries of the Weird West through the intertwined destinies of its unusual heroes in an immersive sim from the co-creators of Dishonored and Prey.","Very Positive","(422)","WolfEye Studios","Devolver Digital","Western,Isometric,RPG,Immersive Sim,Story Rich,Atmospheric,Tactical RPG,Action,Multiple Endings,Dark Fantasy,Supernatural,Stealth,Action RPG,Indie,Violent,Choices Matter,Top-Down,Adventure,Singleplayer,Dark,+"
"Sea of Thieves","Jun 3 2020","3999.0","Sea of Thieves offers the essential pirate experience, from sailing and fighting to exploring and looting – everything you need to live the pirate life and become a legend in your own right. With no set roles, you have complete freedom to approach the world, and other players, however you choose.","Very Positive","(3,921)","Rare Ltd","Xbox Game Studios","Adventure,Multiplayer,Open World,Pirates,Action,Co-op,Online Co-Op,Sailing,PvP,First-Person,Exploration,Naval,Funny,PvE,Atmospheric,Massively Multiplayer,Swordplay,Great Soundtrack,FPS,Singleplayer,+"
"DEATH STRANDING DIRECTOR'S CUT","Mar 30 2022","3999.0","From legendary game creator Hideo Kojima comes a genre-defying experience, now expanded in this definitive DIRECTOR’S CUT. As Sam Bridges, your mission is to deliver hope to humanity by connecting the last survivors of a decimated America. Can you reunite the shattered world, one step at a time?","Very Positive","(674)","KOJIMA PRODUCTIONS","505 Games","Action,Adventure,Walking Simulator,Exploration,Action-Adventure,Story Rich,Atmospheric,Open World,Third Person,Singleplayer,Combat,Great Soundtrack,Cinematic,Post-apocalyptic,Sci-fi,+"
"Destiny 2: The Witch Queen Deluxe + Bungie 30th Anniversary Bundle","Feb 22 2022","8499.0","None","Mostly Positive","(22)","Bungie","Bungie","Action,Adventure,Free to Play,FPS,MMORPG,Anime,Shooter,Sci-fi,+"
"Coromon","Mar 31 2022","1599.0","Coromon is a modern take on the classic monster-taming genre. Tame Coromon and explore a vast world filled with thrilling turn-based battles, brain-twisting puzzles, and a mysterious threat to the world awaiting defeat. Nobody said being a Battle Researcher was easy!","Very Positive","(439)","TRAGsoft","Freedom Games","Creature Collector,Collectathon,Turn-Based,Difficult,JRPG,Character Customization,RPG,2D,Pixel Graphics,Cute,Turn-Based Combat,Story Rich,Anime,Colorful,Adventure,Retro,Singleplayer,Indie,Strategy,Exploration,+"
"Core Keeper","Mar 8 2022","1299.0","Explore an endless cavern of creatures, relics and resources in a mining sandbox adventure for 1-8 players. Mine, build, fight, craft and farm to unravel the mystery of the ancient Core.","Very Positive","(7,155)","Pugstorm","Fireshine Games","Early Access,Online Co-Op,Sandbox,Pixel Graphics,Adventure,2D,Procedural Generation,Dungeon Crawler,Farming Sim,Casual,Relaxing,Cooking,Crafting,Exploration,Simulation,Atmospheric,Survival,Building,Mining,Mystery,+"
"Phasmophobia","Sep 18 2020","1399.0","Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost hunting equipment at your disposal in order to gather as much evidence as you can.","Overwhelmingly Positive","(7,079)","Kinetic Games","Kinetic Games","Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op,VR,Supernatural,First-Person,Investigation,Dark,Mystery,Demons,Detective,Early Access,3D,Thriller,Indie,Action,Tactical,Lovecraftian,+"
"Grand Theft Auto V: Premium Edition","","1480.0","NA","NA","NA","NA","NA","NA"
